team,squad_market_value,starting_xi_market_value,top_5_player_rating_avg,top_11_player_rating_avg,goalkeeper_strength,defense_strength,midfield_strength,attack_strength,bench_strength,avg_age,total_caps,international_goals,club_minutes_last_season,club_minutes_recent_90_days,source,updated_at
Scotland,170.25,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Paraguay,153.65,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Bosnia and Herzegovina,146.4,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
DR Congo,143.9,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
South Korea,139.05,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Egypt,116.48,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Uzbekistan,85.33,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Australia,77.45,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Tunisia,69.95,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Haiti,55.9,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Cape Verde,49.25,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
South Africa,49.25,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Saudi Arabia,40.68,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Panama,34.55,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
New Zealand,34.45,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Iran,32.05,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Curaçao,25.78,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Iraq,21.2,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Jordan,20.3,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Qatar,19.93,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
