date,team,elo,source,retrieved_at
2026-06-22,Canada,1777,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Cape Verde,1625,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Cayman Islands,800,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Central African Republic,1236,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Chad,1073,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Chagos Islands,785,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Chile,1717,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,China,1424,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Chinese Taipei,822,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Colombia,1998,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Comoros,1374,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Congo,1206,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Cook Islands,623,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Costa Rica,1608,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Croatia,1881,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Cuba,1239,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Curaçao,1453,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Cyprus,1314,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Czechia,1696,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,DR Congo,1674,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Denmark,1869,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Djibouti,940,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Dominica,934,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Dominican Republic,1283,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Ecuador,1864,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Egypt,1711,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,El Salvador,1342,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,England,2055,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Equatorial Guinea,1380,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Eritrea,1201,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Estonia,1360,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Eswatini,1148,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Ethiopia,1287,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Falkland Islands,571,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Faroe Islands,1386,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Fiji,1104,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Finland,1536,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,France,2084,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,French Guiana,1221,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Gabon,1401,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Gambia,1419,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Georgia,1654,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Germany,1954,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Ghana,1557,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Gibraltar,1011,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Greece,1744,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Greenland,946,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Grenada,1098,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Guadeloupe,1338,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Guam,706,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Guatemala,1505,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Guinea,1463,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Guinea-Bissau,1248,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Guyana,1292,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Haiti,1528,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Honduras,1570,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Hong Kong,1101,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Hungary,1710,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Iceland,1568,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,India,1128,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Indonesia,1372,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Iran,1766,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Iraq,1592,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Ireland,1699,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Israel,1647,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Italy,1869,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Ivory Coast,1728,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Jamaica,1527,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Japan,1925,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Jordan,1653,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Kazakhstan,1428,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Kenya,1363,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Kiribati,545,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Kosovo,1714,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Kurdistan,1425,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Kuwait,1332,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Kyrgyzstan,1295,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Laos,734,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Latvia,1288,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Lebanon,1288,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Lesotho,1198,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Liberia,1304,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Libya,1420,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Liechtenstein,895,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Lithuania,1279,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Luxembourg,1450,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Macau,589,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Madagascar,1380,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Malawi,1239,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Malaysia,1293,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Maldives,801,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Mali,1588,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Malta,1255,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Marshall Islands,559,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Martinique,1312,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Mauritania,1329,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Mauritius,1073,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Mayotte,1217,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Mexico,1896,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Micronesia,564,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Moldova,1270,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Monaco,903,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Mongolia,726,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Montenegro,1461,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Montserrat,972,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Morocco,1866,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Mozambique,1342,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Myanmar,984,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Namibia,1303,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Nepal,893,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Netherlands,1972,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,New Caledonia,1286,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,New Zealand,1578,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Nicaragua,1333,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Niger,1382,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Nigeria,1767,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Niue,496,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,North Korea,1373,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,North Macedonia,1589,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Northern Cyprus,1457,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Northern Ireland,1605,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Northern Mariana Islands,432,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Norway,1929,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Oman,1479,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Pakistan,909,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Palau,403,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Palestine,1465,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Panama,1683,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Papua New Guinea,1136,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Paraguay,1816,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Peru,1699,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Philippines,1179,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Poland,1710,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Portugal,1967,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Puerto Rico,1135,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Qatar,1437,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Reunion,1346,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Romania,1639,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Russia,1772,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Rwanda,1336,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Saba,671,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Saint Barthelemy,725,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Saint Kitts and Nevis,1030,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Saint Lucia,1003,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Saint Martin,1042,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Saint Pierre and Miquelon,677,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Saint Vincent and the Grenadines,1141,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Samoa,730,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,San Marino,825,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Saudi Arabia,1593,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Scotland,1768,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Senegal,1839,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Serbia,1734,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Seychelles,853,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Sierra Leone,1341,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Singapore,1134,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Sint Eustatius,757,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Sint Maarten,975,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Slovakia,1667,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Slovenia,1682,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Solomon Islands,1054,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Somalia,979,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Somaliland,1002,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,South Africa,1527,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,South Korea,1771,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,South Sudan,1109,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Spain,2134,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Sri Lanka,836,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Sudan,1350,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Suriname,1431,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Sweden,1727,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Switzerland,1885,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Syria,1479,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,São Tomé e Príncipe,1035,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Tahiti,1179,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Tajikistan,1285,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Tanzania,1313,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Thailand,1376,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Tibet,630,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Timor-Leste,734,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Togo,1379,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Tonga,521,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Trinidad and Tobago,1386,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Tunisia,1570,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Turkey,1813,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Turkmenistan,1209,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Turks and Caicos,658,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Tuvalu,756,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,US Virgin Islands,628,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Uganda,1394,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Ukraine,1780,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,United Arab Emirates,1540,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,United States,1820,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Uruguay,1851,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Uzbekistan,1698,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Vanuatu,1118,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Vatican,692,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Venezuela,1733,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Vietnam,1351,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Wales,1682,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Wallis and Futuna,701,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Western Sahara,996,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Yemen,1195,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Zambia,1371,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Zanzibar,1326,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Zimbabwe,1372,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
