date,team,missing_starters_count,missing_key_players_count,injury_impact_score,suspension_impact_score,goalkeeper_missing,captain_missing,minutes_lost_from_expected_xi,source,updated_at
2026-06-22,Switzerland,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Colombia,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Japan,2,1,1.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Algeria,1,1,1.0,0.0,1,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Austria,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Ghana,1,1,0.75,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Canada,0,0,0.25,0.0,0,1,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Mexico,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Czechia,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Scotland,1,0,0.5,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Paraguay,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Bosnia and Herzegovina,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,DR Congo,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,South Korea,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Egypt,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Uzbekistan,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Australia,2,0,1.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Tunisia,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Haiti,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Cape Verde,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,South Africa,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Saudi Arabia,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Panama,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,New Zealand,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Iran,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Curaçao,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Iraq,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Jordan,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Qatar,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
