date,match_id,tournament_year,stage,home_team,away_team,actual_result,official_predicted_result,bookmaker_predicted_result,official_log_loss,bookmaker_log_loss,delta_log_loss,official_home_prob,official_draw_prob,official_away_prob,bookmaker_home_prob,bookmaker_draw_prob,bookmaker_away_prob
2018-06-16,historical_aeab86a03dc9c3d9,2018,group_stage,Peru,Denmark,away_win,home_win,away_win,1.305496694405185,0.8651196223747075,0.4403770720304774,0.3995577359875993,0.32940438540348,0.2710378786089207,0.2642697677518243,0.3147290437950529,0.4210011884531227
2022-11-29,historical_433d870297c7ca84,2022,group_stage,Ecuador,Senegal,away_win,home_win,home_win,1.6500031769666743,1.2118686778618728,0.4381344991048015,0.600274843808459,0.2076758577059772,0.1920492984855638,0.3879086053316258,0.3144508295711519,0.2976405650972223
2018-06-14,historical_e21f91d5c8997faa,2018,group_stage,Russia,Saudi Arabia,home_win,draw,home_win,0.8386070724908368,0.4065579061253845,0.43204916636545226,0.4323122839002194,0.4413435574042704,0.1263441586955102,0.665938532579392,0.2250625596217389,0.1089989077988691
2022-12-01,historical_70c40eac2d3a18d9,2022,group_stage,Costa Rica,Germany,away_win,away_win,away_win,0.5635984595500568,0.1375876845860633,0.42601077496399353,0.2376665986203029,0.1931761164060992,0.5691572849735979,0.0389298830823141,0.0896121836989117,0.8714579332187742
2018-06-21,historical_f2cf6cfbdc7e317c,2018,group_stage,Denmark,Australia,draw,home_win,home_win,1.662752794218539,1.258889801140079,0.40386299307845985,0.5979045994018364,0.1896162863805803,0.2124791142175832,0.5058199838653913,0.2839691137489916,0.2102109023856171
2022-11-27,historical_145dfa46f0fe6a6f,2022,group_stage,Croatia,Canada,home_win,away_win,home_win,1.234596093208657,0.8394616580116193,0.3951344351970377,0.2909522562302177,0.2612299803970757,0.4478177633727065,0.4319429938993606,0.2942026583834655,0.2738543477171739
2014-06-25,historical_d79643fb4a9d4b24,2014,group_stage,Bosnia and Herzegovina,Iran,home_win,away_win,home_win,1.2050854697243658,0.8215284499943941,0.3835570197299717,0.2996663860152582,0.2796384132365452,0.4206952007481966,0.4397589909434018,0.2723507387092659,0.2878902703473321
2022-11-27,historical_ddb7b2cf8119d2e2,2022,group_stage,Belgium,Morocco,away_win,home_win,home_win,1.912721078689208,1.5394794158738905,0.37324166281531745,0.6913004624930358,0.1610215415791371,0.1476779959278271,0.5031451895798355,0.2823620765403255,0.2144927338798391
2022-12-02,historical_db2cc8f055377b92,2022,group_stage,South Korea,Portugal,home_win,away_win,away_win,1.844460769520677,1.498411380252343,0.34604938926833384,0.1581105559377789,0.1945704785808987,0.6473189654813223,0.2234849108345047,0.2546409841948111,0.5218741049706842
2022-11-27,historical_b9ace2b40b17c60a,2022,group_stage,Spain,Germany,draw,home_win,home_win,1.6106275138229875,1.2707346584775223,0.3398928553454652,0.5815162620625852,0.1997622211812701,0.2187215167561447,0.3794055167530336,0.2806253822137822,0.3399691010331842
2018-06-21,historical_3444ffdebc66d575,2018,group_stage,France,Peru,home_win,draw,home_win,0.8488073849805476,0.5116706313881089,0.3371367535924388,0.4279249774996448,0.4286482246370112,0.1434267978633439,0.5994932095777695,0.2529111977906216,0.1475955926316089
2014-06-15,historical_c6f31ccc429d2c69,2014,group_stage,Switzerland,Ecuador,home_win,away_win,home_win,1.2555022552497894,0.9220488080256894,0.3334534472241,0.2849327033337402,0.2836186784859824,0.4314486181802773,0.397703387918443,0.2973483274156583,0.3049482846658988
2018-07-15,historical_22eca05f3197aafd,2018,final,France,Croatia,home_win,draw,home_win,1.1109002656637892,0.7896264042196462,0.32127386144414294,0.3292624039684587,0.3729637756595772,0.297773820371964,0.4540143814591764,0.3129613697437042,0.2330242487971194
2014-07-05,historical_9083848259398f0e,2014,quarterfinal,Netherlands,Costa Rica,draw,home_win,home_win,1.7714200660695616,1.4567365620637729,0.3146835040057887,0.69187033643864,0.1700912763918837,0.1380383871694762,0.630007302487451,0.2329954014065512,0.1369972961059979
2018-06-22,historical_c7b2d0524018f32a,2018,group_stage,Nigeria,Iceland,home_win,away_win,away_win,1.4285514934348278,1.1217801737277575,0.3067713197070703,0.2396558139655439,0.3289421936936627,0.4314019923407934,0.3256994765914633,0.3161512834666322,0.3581492399419044
2018-06-16,historical_43f34ab319babc05,2018,group_stage,France,Australia,home_win,home_win,home_win,0.5600548841026424,0.2616912959656808,0.29836358813696157,0.5711777144122251,0.2992727268232815,0.1295495587644934,0.7697486115353209,0.1387529686029333,0.0914984198617457
2014-06-29,historical_79e2778394feef76,2014,round_of_16,Costa Rica,Greece,draw,away_win,home_win,1.4655797542485698,1.169370086933572,0.29620966731499787,0.3791787833262283,0.2309440618569048,0.3898771548168668,0.3595986923683913,0.3105625070454289,0.3298388005861797
2014-07-09,historical_139c424f41341d1f,2014,semifinal,Netherlands,Argentina,draw,away_win,away_win,1.4929210118015608,1.2015725576160776,0.29134845418548316,0.3705754821255996,0.2247152998920576,0.4047092179823427,0.3155591431035984,0.300720938882426,0.3837199180139756
2014-06-17,historical_0b0c31de1a58c00c,2014,group_stage,Belgium,Algeria,home_win,home_win,home_win,0.6209429606630927,0.3337476593597455,0.28719530130334725,0.5374374162392591,0.2706717131532232,0.1918908706075177,0.7162344944966382,0.1867226114057383,0.0970428940976233
2022-11-21,historical_5d4d1b65bd378920,2022,group_stage,United States,Wales,draw,home_win,home_win,1.4557245778718306,1.1730481517152898,0.28267642615654087,0.4577512940621088,0.2332313084165193,0.3090173975213718,0.3909162847307301,0.3094223361223694,0.2996613791469003
