raw_team_name,canonical_team_name
Tajikistan,Tajikistan
Tamil Eelam,Tamil Eelam
Tanzania,Tanzania
Thailand,Thailand
Tibet,Tibet
Ticino,Ticino
Timor-Leste,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu
Two Sicilies,Two Sicilies
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Koreans in Japan,United Koreans in Japan
USA,United States
United States,United States
United States Virgin Islands,United States Virgin Islands
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Vatican City,Vatican City
Venezuela,Venezuela
Vietnam,Vietnam
Vietnam Republic,Vietnam Republic
W100,W100
W101,W101
W102,W102
W73,W73
W74,W74
W75,W75
W76,W76
W77,W77
W78,W78
W79,W79
W80,W80
W81,W81
W82,W82
W83,W83
W84,W84
W85,W85
W86,W86
W87,W87
W88,W88
W89,W89
W90,W90
W91,W91
W92,W92
W93,W93
W94,W94
W95,W95
W96,W96
W97,W97
W98,W98
W99,W99
Wales,Wales
Wallis Islands and Futuna,Wallis Islands and Futuna
West Papua,West Papua
Western Armenia,Western Armenia
Western Australia,Western Australia
Western Isles,Western Isles
Western Sahara,Western Sahara
Yemen,Yemen
Yemen DPR,Yemen DPR
Ynys Môn,Ynys Môn
Yorkshire,Yorkshire
Yoruba Nation,Yoruba Nation
Yugoslavia,Yugoslavia
Zambia,Zambia
Zanzibar,Zanzibar
Zimbabwe,Zimbabwe
Åland Islands,Åland Islands
